id,name,genre,followers
4vjGlQWexbru6aOUCLTVir,Kiki Dee,pop,16956
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",funk,3684492
64CuUOOirKmdAYLQSfaOyr,The Emotions,urban contemporary,505208
0UpuH5U4nZ3UGGUJi0Zfbp,Blue Swede,pop,89847
1Ek3VdZ8EPmcvgRIqnHlrF,Björn Skifs,pop,83509
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,funk,4771247
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,adult standards,5898738
3IZrrNonYELubLPJmqOci2,Nancy Sinatra,rock,378670
2jFZlvIea42ZvcCw4OeEdA,Count Basie,adult standards,317460
0FMucZsEnCxs5pqBjHjIc8,Stan Getz,jazz,357274
5rX2c1zow6hCph8PnnU3kF,Astrud Gilberto,adult standards,197685
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,country,5569853
74ASZWbe4lXaubB36ztrGX,Bob Dylan,rock,5862875
6CXezToiGS8K6jr9kr8Muv,The Jordanaires,country,5409
7dNsHhGeGU5MV01r06O8gK,Patsy Cline,adult standards,741923
0IwlY33zbBXN7zlS9DP2Cj,Nico,singer-songwriter,263415
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,rock,1618698
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,adult standards,2575005
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,adult standards,2200067
52lBOxCxbJg0ttXEW9CQpW,Louis Prima,adult standards,173787
2ttm3uT0N1RN7vwKv1pQgh,Brook Benton,soul,59637
32LHRiof0sa4taYew9i3Fa,Dinah Washington,adult standards,418535
3ESG6pj6a0LvUKklENalT6,Doris Day,adult standards,390278
3EVyH5tLgdq62aXTdKfzey,Paul Weston And His Orchestra,orchestra,2123
21LGsW7bziR4Ledx7WZ1Wf,Johnny Mathis,adult standards,349654
7LfRnzGM0wRSyS5mmAwJbv,Ray Conniff,adult standards,251090
1FClsNYBUoNFtGgzeG74dW,Hank Williams,country,827860
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,pop,72283522
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,pop,44487480
