Id,Label,timeset,name,genre,followers,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,stat_inf_class
4ZuggB1YawAAZOBL4pI9J8,,,Emily Ann Roberts,country pop,20201,109,1,1,1,1,1,0,0.00103,102,126
02rd0anEWfMtF7iMku9uor,,,Reba McEntire,country,1766192,0,5,6,14,0.153144,0.167878,0.000635,0.017861,589,650
2BQVRw9md4UKcGUrDXABCD,,,Tracy Lawrence,country,932418,0,2,2,16,0.111681,0.117977,0.000158,0.002795,106,599
6ktyNEnEukKzskQEiXgCFD,,,Craig Morgan,country,945473,0,1,1,17,0.100464,0.104931,0,0.001363,106,599
3qfrrrSO7utFdJkM2tvMRb,,,CeCe Winans,gospel,483360,0,3,3,13,0.149005,0.165217,0.000352,0.013548,158,599
0eYsDVXAe2mc4F8QrBLHAq,,,Lauren Weintraub,alt z,104902,110,1,1,1,1,1,0,0.00103,103,127
7uOj7ISCtmaA0BctMszzAw,,,Brandon Ray,contemporary country,12433,110,1,1,1,1,1,0,0.00103,103,127
3rXeRTogAKT6xqOLyfC7xv,,,Linda Davis,country,23905,0,1,1,15,0.13281,0.141855,0,0.003194,589,650
4BclNkZtAUq1YrYNzye3N7,,,Garth Brooks,country,1103809,111,1,1,1,1,1,0,0.00103,104,128
4K3DSWzghkGUcQOEZG9gpo,,,Chris LeDoux,country,444189,111,1,1,1,1,1,0,0.00103,104,128
1mfDfLsMxYcOOZkzBxvSVW,,,Cole Swindell,country,1932510,112,2,4,1,1,1,0,0.002125,105,129
3ltFy7g6KKQPPttsdOMlq3,,,Jo Dee Messina,country,691517,112,1,1,2,0.666667,0.75,0,0.001286,105,129
6Sb8EHpZvyjSTT5KD9DjUZ,,,Ronnie Milsap,country,357795,0,3,3,15,0.135809,0.148033,0.000036,0.006837,158,599
5W5bDNCqJ1jbCgTxDD0Cb3,,,Willie Nelson,country,1817340,0,11,11,16,0.114603,0.124486,0.002709,0.018317,162,599
60ht0hWRy1yjUDfNsLuHuP,,,Lucinda Williams,new americana,213824,0,2,2,17,0.115451,0.123861,0.000467,0.009244,162,599
0khzcQ6PQU5a6dl1Qss3pt,,,Lorrie Morgan,country,365639,113,1,1,7,0.254237,0.31619,0,0.001432,485,693
1SX44N5qjWuFcCK8WTO0c6,,,Pam Tillis,country,358276,113,2,79,6,0.333333,0.43,0.000001,0.003341,485,693
3VQfHuqrRK1CNXR1V8PeR9,,,Gene Watson,country,67246,0,1,1,17,0.102823,0.109042,0,0.004202,162,599
0HLOP0AdsaWe5Pt5TNueGC,,,Terri Clark,country,489644,0,3,3,18,0.088486,0.09224,0.000315,0.003595,139,581
1Fj0R2t4HaJa3oUe8azB8R,,,Ty Herndon,country,116962,0,1,1,19,0.081295,0.084044,0,0.001584,139,581
4e9TBaTlI3LVQz3tkTYC0I,,,Hailey Whitters,country,38580,0,2,2,15,0.130062,0.142809,0.000301,0.005298,106,599
0i9f82nIFjrLnnsf2YX3vY,,,Jeannie Seely,pop,10467,0,1,1,17,0.102823,0.109042,0,0.004202,162,599
3SKza3YPBri1k43LB1Tqy4,,,Tauren Wells,ccm,500430,0,3,13,14,0.130253,0.142284,0.000315,0.007975,106,599
1iLuTmIgxCEiEllDSWkeIy,,,Ronnie Dunn,country,151746,114,2,2,1,1,1,0,0.002125,107,130
40v31oiMOaz7dorFhevJRp,,,Jake Worthington,deep,8767,114,1,1,2,0.666667,0.75,0,0.001286,107,130
